aX,aY,aZ,gX,gY,gZ
-0.022,-0.088,0.976,2.991,0.854,1.221
0.000,-0.041,0.848,1.892,1.831,0.854
0.091,-0.059,0.883,0.610,0.977,0.549
0.046,-0.047,0.953,-1.038,0.488,0.366
0.147,-0.129,1.202,-1.648,1.282,0.183
-0.082,-0.083,1.041,-2.808,0.183,0.061
-0.046,-0.042,0.993,-2.747,2.563,-0.061
-0.018,-0.023,0.858,-2.502,-0.427,-0.671
0.058,-0.067,1.009,-1.343,0.610,-1.282
0.027,-0.024,0.879,-0.244,0.427,-1.343
-0.029,-0.036,0.866,1.526,1.648,-1.404
0.115,-0.059,1.054,2.991,1.831,-1.343
0.040,-0.077,1.034,3.906,0.916,-1.343
0.002,-0.047,0.943,4.944,1.831,-1.526
0.030,-0.026,0.845,5.188,1.404,-1.404
0.122,-0.035,1.012,5.127,1.953,-1.465
0.055,-0.027,0.975,4.333,1.038,-1.465
0.071,-0.095,1.092,3.418,1.404,-1.526
0.036,-0.100,1.031,2.502,0.488,-1.587
-0.088,-0.062,0.855,1.282,0.610,-1.770
0.111,-0.050,0.958,0.610,2.808,-1.892
0.098,-0.047,0.823,-0.366,0.977,-2.258
0.062,-0.063,0.902,-0.488,0.732,-2.563
0.059,-0.009,0.761,0.000,1.282,-3.052
0.121,-0.075,1.131,0.305,1.648,-3.357
0.016,-0.080,1.010,0.366,1.160,-3.601
-0.092,-0.158,1.255,1.221,2.563,-3.906
0.119,0.005,0.728,1.709,5.493,-4.211
-0.014,0.049,0.556,2.869,-2.014,-4.761
0.086,-0.031,0.985,2.747,0.732,-5.005
0.084,-0.077,1.020,1.770,-0.305,-5.066
-0.090,-0.095,1.227,0.549,0.610,-4.944
0.134,-0.076,1.107,0.183,4.089,-4.700
-0.119,0.025,0.576,-0.244,-2.930,-4.822
0.178,-0.068,1.079,1.343,4.700,-4.578
0.001,-0.015,0.889,1.099,-0.916,-4.700
-0.026,-0.047,0.913,1.953,1.892,-4.639
0.092,-0.082,1.035,2.380,1.221,-4.639
0.055,-0.128,1.223,2.258,0.854,-4.639
-0.037,-0.115,1.103,2.441,3.784,-4.456
0.040,0.037,0.571,2.014,1.160,-4.395
0.076,-0.030,0.905,3.113,2.563,-4.456
0.088,-0.055,1.025,1.343,2.197,-4.456
0.042,-0.089,1.025,1.709,-3.113,-4.639
0.002,-0.091,1.050,0.549,1.831,-4.333
0.037,-0.035,0.853,-0.854,0.305,-4.333
0.087,-0.022,0.835,-1.038,2.441,-4.089
0.044,-0.035,0.912,-0.732,1.099,-4.150
0.006,-0.113,1.169,-0.061,1.099,-4.028
0.016,-0.085,1.018,1.404,2.258,-3.906
0.070,-0.025,0.836,2.625,0.000,-3.967
0.071,-0.029,0.905,3.540,1.770,-3.845
-0.006,-0.103,1.081,3.540,1.160,-3.662
0.027,-0.089,1.034,3.052,-0.122,-3.601
0.062,-0.057,0.904,1.892,2.136,-3.601
0.054,-0.047,0.817,0.671,1.282,-3.357
0.053,-0.057,1.069,0.000,1.282,-3.052
0.031,-0.089,1.156,-0.671,1.709,-2.686
0.074,-0.126,1.215,0.122,-0.183,-2.686
0.006,-0.055,0.911,0.061,3.235,-2.075
0.087,-0.029,0.786,2.319,3.418,-1.892
0.060,-0.113,1.190,2.380,3.784,-1.648
0.037,-0.137,1.165,2.136,0.793,-1.648
0.032,-0.013,0.748,2.258,0.977,-1.404
0.088,-0.035,0.920,1.282,5.249,-1.099
0.043,-0.039,0.824,1.648,1.099,-1.099
0.024,-0.084,1.075,2.563,-1.343,-1.221
0.034,-0.137,1.213,1.770,0.488,-1.038
0.036,-0.090,0.989,2.197,1.160,-0.793
0.017,-0.019,0.723,1.221,2.563,-0.549
0.038,-0.069,0.944,2.014,2.808,-0.610
0.045,-0.042,0.889,1.587,2.808,-0.671
0.040,-0.092,1.017,2.136,2.380,-0.488
0.059,-0.111,1.096,2.686,1.465,-0.061
0.037,-0.066,0.906,3.357,2.625,0.549
0.046,-0.042,0.860,4.456,4.089,1.160
0.048,-0.037,0.888,5.249,5.615,1.953
0.058,-0.069,1.005,6.470,6.592,2.747
0.036,-0.055,0.987,8.423,6.775,3.296
0.029,-0.060,0.939,10.315,7.202,3.662
0.017,-0.072,0.925,12.634,7.874,3.662
0.033,-0.082,1.025,13.855,9.949,3.540
0.021,-0.043,0.927,15.259,12.817,3.113
0.019,-0.041,0.874,17.517,15.137,1.099
0.015,-0.063,0.901,17.456,15.869,-1.831
0.017,-0.074,0.875,13.794,15.259,-4.150
0.101,-0.185,1.287,7.935,13.367,-5.127
0.123,-0.169,1.200,1.709,7.446,-5.554
0.107,-0.143,1.078,-3.967,-0.183,-5.371
0.097,-0.103,0.890,-7.141,-8.301,-5.066
0.102,-0.137,0.962,-10.986,-12.878,-4.089
0.050,-0.087,0.842,-13.367,-13.794,-2.747
0.046,-0.113,0.890,-14.771,-12.634,-1.404
0.048,-0.113,1.158,-16.724,-9.277,-0.244
0.094,-0.132,1.038,-17.212,-7.446,0.061
0.080,-0.096,0.831,-17.151,-8.972,-0.366
0.035,-0.080,0.962,-15.808,-14.709,-1.709
-0.066,-0.086,0.918,-16.357,-12.939,-2.686
0.067,-0.060,0.959,-16.724,-0.793,-2.747
0.031,-0.031,0.922,-12.573,0.061,-2.686
-0.035,-0.042,0.831,-6.958,0.488,-2.930
-0.004,-0.038,0.826,-2.197,1.099,-3.723
-0.008,-0.051,0.925,1.099,0.793,-4.395
0.075,-0.045,1.096,2.319,1.282,-4.517
-0.004,-0.054,0.915,2.258,0.732,-4.333
0.073,-0.025,1.054,1.465,2.136,-4.028
0.064,-0.046,1.022,0.610,0.793,-3.479
0.018,-0.039,0.972,0.000,2.075,-3.052
-0.004,-0.042,0.912,-0.427,1.038,-2.930
0.016,-0.066,0.805,-0.305,1.526,-3.235
0.067,-0.045,1.049,0.122,0.977,-3.845
0.078,-0.056,1.004,0.793,0.854,-4.395
0.050,-0.059,0.993,1.221,0.854,-4.761
0.007,-0.052,0.906,1.648,0.977,-4.761
0.082,-0.055,0.923,1.526,0.305,-4.456
0.034,-0.054,0.936,1.221,0.854,-3.540
0.063,-0.046,0.923,1.038,0.916,-2.625
0.058,-0.050,0.954,0.977,0.916,-1.892
0.131,-0.064,1.054,1.221,1.038,-1.587
0.047,-0.055,1.105,1.160,1.221,-1.404
-0.003,-0.089,0.974,1.221,1.648,-1.282
-0.033,-0.107,0.790,0.427,0.977,-1.160
0.065,-0.111,1.063,-1.038,1.770,-1.160
0.071,-0.128,0.994,-2.625,0.305,-1.160
0.051,-0.115,0.993,-3.601,1.343,-1.282
0.015,-0.105,0.877,-3.357,1.038,-1.343
0.055,-0.109,0.861,-1.526,0.610,-1.343
0.052,-0.097,0.917,1.526,1.038,-1.465
0.113,-0.061,1.049,4.761,1.282,-1.404
0.062,-0.062,0.935,7.751,0.854,-1.343
0.010,-0.039,0.892,9.399,0.732,-1.282
-0.019,-0.027,0.932,8.301,0.610,-0.977
0.096,-0.044,1.123,5.249,0.916,-0.244
0.085,-0.018,1.159,1.404,0.427,0.305
0.047,0.001,0.992,-1.587,1.587,0.183
0.016,0.006,1.049,-4.150,1.038,-0.549
-0.092,0.005,0.873,-5.920,0.549,-1.526
-0.025,-0.018,0.884,-6.897,0.916,-2.930
0.110,-0.029,1.050,-7.568,0.366,-4.578
-0.007,-0.044,1.002,-7.996,0.671,-6.042
-0.022,-0.076,0.909,-8.850,0.732,-7.568
-0.004,-0.073,0.901,-9.521,1.343,-8.667
0.045,-0.088,0.878,-9.705,0.854,-9.277
0.099,-0.080,1.134,-8.972,0.793,-9.277
0.039,-0.041,0.870,-6.897,0.488,-8.362
0.063,-0.025,0.846,-3.723,1.160,-6.897
0.062,-0.046,0.874,-0.122,1.404,-5.188
0.116,-0.035,0.938,2.441,0.671,-3.479
0.109,-0.018,1.045,3.662,1.404,-1.770
0.029,-0.034,0.877,3.418,1.099,-0.610
0.096,-0.006,0.916,2.563,1.404,-0.122
0.057,-0.017,1.004,1.160,-0.061,-0.183
-0.042,-0.033,0.833,-0.366,0.305,-0.427
0.167,-0.043,0.979,-1.709,1.526,-0.854
0.063,-0.061,1.298,-3.052,-0.305,-1.526
-0.058,-0.066,0.923,-3.662,1.038,-1.892
